config_bits,fair_func,period,total_pshed,obj_efficient,obj_jain,obj_min_max,obj_proportional,obj_equality_min,obj_palma
000011,efficient,1,3388.268745600907,3388.268745600907,0.4107304891535549,1154.9999841626163,-Inf,1.4048034792616673e7,3.4506497880577385
000011,efficient,2,2866.0,2866.0,0.30650953770695755,1155.0,-Inf,1.5177628e7,24.11764705882353
100011,efficient,1,3388.2687015090237,3388.2687015090237,0.4107304982143652,1154.9999895463889,-Inf,1.4048034954934131e7,3.45064897073358
100011,efficient,2,2866.0,2866.0,0.30650953770695755,1155.0,-Inf,1.5177628e7,24.11764705882353
010011,efficient,1,3281.097296585884,3281.097296585884,0.3947974746144298,1154.9999834656874,-Inf,1.4250105677713923e7,3.633418902203457
010011,efficient,2,1453.0,1453.0,0.10204186782415446,1155.0,-Inf,1.8034409e7,Inf
110011,efficient,1,3206.005431339181,3206.005431339181,0.401337451814307,1109.9495665375114,39.47937335491248,1.3071291535096288e7,3.5326396755867955
110011,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
001011,efficient,1,3313.2530314482083,3313.2530314482083,0.41748730556992736,1109.9918311718982,-Inf,1.2879941141470738e7,3.4061401746402327
001011,efficient,2,1413.0,1413.0,0.3268383716104889,485.0,-Inf,2.565499e6,Inf
101011,efficient,1,3206.1830605617697,3206.1830605617697,0.4013504775773396,1109.9859663155296,39.469420441677705,1.30720097021025e7,3.5326019332991327
101011,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
011011,efficient,1,3204.3951036709786,3204.3951036709786,0.4012825671346158,1109.4804400760302,39.54421558389323,1.3060773010879276e7,3.5312385979876995
011011,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
000111,efficient,1,3313.258620911792,3313.258620911792,0.41748679051814425,1109.9951076580119,-Inf,1.2880024208058067e7,3.406144176032835
000111,efficient,2,1413.0,1413.0,0.3268383716104889,485.0,-Inf,2.565499e6,Inf
100111,efficient,1,3206.21116715466,3206.21116715466,0.4013523429198809,1109.991935339471,39.46789814199351,1.3072129804185653e7,3.532593121213025
100111,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
010111,efficient,1,3206.036287164077,3206.036287164077,0.4013232254821168,1109.9940602481272,39.476705896759526,1.3072512778695451e7,3.5325220090091123
010111,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
