config_bits,fair_func,load_id,weight_new
001010,efficient,3,1.5000000149165151
001010,efficient,4,1.0004119935357287
001010,efficient,5,1.5000000147495431
001010,efficient,6,1.5000000148747559
001010,efficient,7,1.500000014749509
001010,efficient,8,1.500000014803705
001010,efficient,9,1.0007685678230536
001010,efficient,10,1.5000000146519636
001010,efficient,11,1.0007685678230394
001010,efficient,12,1.0005564947813397
001010,efficient,13,1.2895419184345358
001010,efficient,14,1.5000000136488578
001010,efficient,15,1.5000000147495225
101010,efficient,1,1.000734409449589
101010,efficient,2,1.5000000135770408
101010,efficient,3,1.5000000149165322
101010,efficient,4,1.5000000148019006
101010,efficient,5,1.5000000147496166
101010,efficient,6,1.5000000148747645
101010,efficient,7,1.5000000147494992
101010,efficient,8,1.5000000148037114
101010,efficient,9,1.0007791191133582
101010,efficient,10,1.5000000146519747
101010,efficient,11,1.0007791191128905
101010,efficient,12,1.5000000146670611
101010,efficient,13,1.5000000148748254
101010,efficient,14,1.5000000136489011
101010,efficient,15,1.5000000147495882
111010,efficient,1,1.5000000147865937
111010,efficient,2,1.5000000135811187
111010,efficient,3,1.5000000149169481
111010,efficient,4,1.5000000148028474
111010,efficient,5,1.5000000147507633
111010,efficient,6,1.5000000148754462
111010,efficient,7,1.5000000147506025
111010,efficient,8,1.5000000148036214
111010,efficient,9,1.500000014715372
111010,efficient,10,1.500000014651733
111010,efficient,11,1.500000014715372
111010,efficient,12,1.5000000146685792
111010,efficient,13,1.5000000148754888
111010,efficient,14,1.5000000136458302
111010,efficient,15,1.5000000147510844
000110,efficient,1,1.0007310125770954
000110,efficient,2,1.0005788602833876
000110,efficient,3,1.500000014916497
000110,efficient,4,1.000101933054973
000110,efficient,5,1.500000014749502
000110,efficient,6,1.5000000148747428
000110,efficient,7,1.5000000147494912
000110,efficient,8,1.5000000148037125
000110,efficient,9,1.0007709119575021
000110,efficient,10,1.500000014651977
000110,efficient,11,1.0007709119574513
000110,efficient,12,1.0001157242923677
000110,efficient,13,1.4999206485521681
000110,efficient,14,1.5000000136489096
000110,efficient,15,1.5000000147494963
100110,efficient,1,1.0007274513469333
100110,efficient,2,1.5000000135765523
100110,efficient,3,1.5000000149165065
100110,efficient,4,1.5000000148018326
100110,efficient,5,1.5000000147495474
100110,efficient,6,1.5000000148747457
100110,efficient,7,1.5000000147494887
100110,efficient,8,1.5000000148037234
100110,efficient,9,1.0007532722764905
100110,efficient,10,1.500000014651996
100110,efficient,11,1.000753272276474
100110,efficient,12,1.500000014666947
100110,efficient,13,1.5000000148747812
100110,efficient,14,1.500000013648984
100110,efficient,15,1.50000001474954
110110,efficient,1,1.50000001478682
110110,efficient,2,1.5000000135734168
110110,efficient,3,1.5000000149164985
110110,efficient,4,1.5000000148017778
110110,efficient,5,1.50000001474946
110110,efficient,6,1.50000001487629
110110,efficient,7,1.5000000147559933
110110,efficient,8,1.5000000148036703
110110,efficient,9,1.5000000147156733
110110,efficient,10,1.5000000146518195
110110,efficient,11,1.5000000147156791
110110,efficient,12,1.5000000146667845
110110,efficient,13,1.500000014874761
110110,efficient,14,1.5000000136461675
110110,efficient,15,1.500000014749449
000001,efficient,1,1.2809077179609565
000001,efficient,2,1.0002972523041573
000001,efficient,3,1.0000828112212021
000001,efficient,4,1.000035311491093
000001,efficient,5,1.4943613080610747
000001,efficient,6,1.0003044250793631
000001,efficient,7,1.4862754770225584
000001,efficient,8,1.5000000148036852
000001,efficient,9,1.000039220227047
000001,efficient,10,1.5000000146519286
000001,efficient,11,1.2808849426685944
000001,efficient,12,1.2805891030070777
000001,efficient,13,1.4999749723531333
000001,efficient,14,1.5000000136487217
