config_bits,switch_states,mld_status,mld_objective,total_pshed,obj_efficient,obj_jain,obj_min_max,obj_proportional,obj_infinity_norm,obj_equality_min,obj_palma
100001,"1=1,2=0,3=0,4=0,5=0,6=1",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
110001,"1=1,2=1,3=0,4=0,5=0,6=1",OPTIMAL,2368.0,2196.0,2196.0,0.8857375856824844,460.0,-113.32468039256607,230.0,940268.0,Inf
001001,"1=0,2=0,3=1,4=0,5=0,6=1",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
101001,"1=1,2=0,3=1,4=0,5=0,6=1",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
111001,"1=1,2=1,3=1,4=0,5=0,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
000101,"1=0,2=0,3=0,4=1,5=0,6=1",OPTIMAL,1653.0,3626.0,3626.0,0.8961526009322855,970.0,-191.02973715957916,485.0,4.518598e6,Inf
100101,"1=1,2=0,3=0,4=1,5=0,6=1",OPTIMAL,2368.0,2196.0,2196.0,0.8857375856824844,460.0,-113.32468039256607,230.0,940268.0,Inf
001101,"1=0,2=0,3=1,4=1,5=0,6=1",OPTIMAL,2053.0,2826.0,2826.0,0.6536767432209778,970.0,-114.6199394153148,485.0,5.130998e6,Inf
101101,"1=1,2=0,3=1,4=1,5=0,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
011101,"1=0,2=1,3=1,4=1,5=0,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
000011,"1=0,2=0,3=0,4=0,5=1,6=1",OPTIMAL,600.0,5732.0,5732.0,0.6130190754139151,2310.0,-231.5923714400733,1155.0,3.0355256e7,48.23529382802768
100011,"1=1,2=0,3=0,4=0,5=1,6=1",OPTIMAL,600.0,5732.0,5732.0,0.6130190754139151,2310.0,-231.5923714400733,1155.0,3.0355256e7,48.23529382802768
010011,"1=0,2=1,3=0,4=0,5=1,6=1",OPTIMAL,2013.0,2906.0,2906.0,0.20408373564830892,2310.0,33.543762983341175,1155.0,3.6068818e7,Inf
110011,"1=1,2=1,3=0,4=0,5=1,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
001011,"1=0,2=0,3=1,4=0,5=1,6=1",OPTIMAL,2053.0,2826.0,2826.0,0.6536767432209778,970.0,-114.6199394153148,485.0,5.130998e6,Inf
101011,"1=1,2=0,3=1,4=0,5=1,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
011011,"1=0,2=1,3=1,4=0,5=1,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
000111,"1=0,2=0,3=0,4=1,5=1,6=1",OPTIMAL,2053.0,2826.0,2826.0,0.6536767432209778,970.0,-114.6199394153148,485.0,5.130998e6,Inf
100111,"1=1,2=0,3=0,4=1,5=1,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
010111,"1=0,2=1,3=0,4=1,5=1,6=1",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
