stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
relaxed,0.6666666666666666,loadbusc,15.0,12.794163442063045,2.2058365579369545,85.29442294708697,14.70557705291303
relaxed,0.6666666666666666,loadbusd,12.0,9.794163519266196,2.205836480733805,81.6180293272183,18.38197067278171
relaxed,0.6666666666666666,loadbuse,22.0,17.1471593518379,4.852840648162101,77.941633417445,22.058366582555006
relaxed,0.6666666666666666,__network_total__,70.0,55.999894443610486,14.000105556389515,79.99984920515783,20.000150794842163
relaxed,0.7777777777777778,loadbusa,19.0,13.95769221712263,5.042307782877369,73.46153798485595,26.53846201514405
relaxed,0.7777777777777778,loadbusb,2.0,1.771538427362089,0.2284615726379109,88.57692136810445,11.423078631895544
relaxed,0.7777777777777778,loadbusc,15.0,12.876923033585582,2.1230769664144185,85.8461535572372,14.15384644276279
relaxed,0.7777777777777778,loadbusd,12.0,9.876923037178138,2.1230769628218624,82.30769197648448,17.69230802351552
relaxed,0.7777777777777778,loadbuse,22.0,17.329230675234328,4.670769324765673,78.76923034197422,21.23076965802579
relaxed,0.7777777777777778,__network_total__,70.0,55.812307390482765,14.187692609517235,79.73186770068966,20.268132299310334
relaxed,0.8888888888888888,loadbusa,19.0,13.95769227289178,5.04230772710822,73.46153827837779,26.538461721622213
relaxed,0.8888888888888888,loadbusb,2.0,1.7715368693344937,0.22846313066550622,88.57684346672468,11.42315653327531
relaxed,0.8888888888888888,loadbusc,15.0,12.876923052693176,2.1230769473068247,85.84615368462117,14.153846315378832
relaxed,0.8888888888888888,loadbusd,12.0,9.876923053188676,2.123076946811324,82.30769210990563,17.69230789009437
relaxed,0.8888888888888888,loadbuse,22.0,17.32923070386395,4.670769296136049,78.76923047210886,21.23076952789113
relaxed,0.8888888888888888,__network_total__,70.0,55.81230595197208,14.187694048027923,79.73186564567439,20.268134354325607
relaxed,1.0,loadbusa,19.0,13.957668618252505,5.042331381747495,73.46141378027635,26.538586219723655
relaxed,1.0,loadbusb,2.0,0.6172596213721666,1.3827403786278334,30.86298106860833,69.13701893139167
relaxed,1.0,loadbusc,15.0,12.876905217369822,2.123094782630177,85.84603478246548,14.153965217534514
relaxed,1.0,loadbusd,12.0,9.876905879304527,2.1230941206954737,82.3075489942044,17.692451005795615
relaxed,1.0,loadbuse,22.0,17.329189994960764,4.670810005039234,78.76904543163984,21.230954568360154
relaxed,1.0,__network_total__,70.0,54.65792933125979,15.342070668740213,78.08275618751398,21.91724381248602
