stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
relaxed,0.5555555555555556,loadbusd,12.0,11.44852942701086,0.5514705729891406,95.40441189175716,4.595588108242838
relaxed,0.5555555555555556,loadbuse,22.0,20.786765558357285,1.2132344416427139,94.4852979925331,5.514702007466881
relaxed,0.5555555555555556,__network_total__,70.0,66.49999740010796,3.5000025998920474,94.99999628586852,5.000003714131496
relaxed,0.6666666666666666,loadbusa,19.0,17.903305919365895,1.0966940806341035,94.22792589139945,5.7720741086005445
relaxed,0.6666666666666666,loadbusb,2.0,1.9128681593489278,0.08713184065107211,95.6434079674464,4.356592032553606
relaxed,0.6666666666666666,loadbusc,15.0,14.448529776656217,0.5514702233437833,96.32353184437478,3.676468155625222
relaxed,0.6666666666666666,loadbusd,12.0,11.448529777611157,0.5514702223888429,95.4044148134263,4.5955851865736905
relaxed,0.6666666666666666,loadbuse,22.0,20.786765507946058,1.2132344920539437,94.48529776339116,5.5147022366088345
relaxed,0.6666666666666666,__network_total__,70.0,66.49999914092825,3.5000008590717453,94.99999877275464,5.000001227245351
relaxed,0.7777777777777778,loadbusa,19.0,17.73942318824133,1.2605768117586713,93.36538520127014,6.634614798729849
relaxed,0.7777777777777778,loadbusb,2.0,1.9428844269352155,0.05711557306478462,97.14422134676077,2.855778653239231
relaxed,0.7777777777777778,loadbusc,15.0,14.469230749007416,0.5307692509925843,96.46153832671611,3.5384616732838956
relaxed,0.7777777777777778,loadbusd,12.0,11.469230752462597,0.5307692475374034,95.57692293718831,4.4230770628116955
relaxed,0.7777777777777778,loadbuse,22.0,20.832307645258844,1.1676923547411566,94.69230747844928,5.307692521550712
relaxed,0.7777777777777778,__network_total__,70.0,66.4530767619054,3.5469232380946,94.93296680272199,5.067033197278
relaxed,0.8888888888888888,loadbusa,19.0,17.739423073979136,1.260576926020863,93.36538459989019,6.634615400109806
relaxed,0.8888888888888888,loadbusb,2.0,1.9428842447522676,0.057115755247732304,97.14421223761337,2.855787762386615
relaxed,0.8888888888888888,loadbusc,15.0,14.469230767972283,0.5307692320277175,96.46153845314855,3.53846154685145
relaxed,0.8888888888888888,loadbusd,12.0,11.469230767731354,0.5307692322686461,95.57692306442794,4.423076935572051
relaxed,0.8888888888888888,loadbuse,22.0,20.83230768892751,1.1676923110724884,94.69230767694324,5.307692323056766
relaxed,0.8888888888888888,__network_total__,70.0,66.45307654336256,3.5469234566374475,94.93296649051794,5.0670335094820675
relaxed,1.0,loadbusa,19.0,17.73938113210192,1.2606188678980805,93.365163853168,6.634836146832003
relaxed,1.0,loadbusb,2.0,1.6208794805651643,0.3791205194348357,81.04397402825822,18.956025971741784
relaxed,1.0,loadbusc,15.0,14.469204348047588,0.5307956519524115,96.46136232031725,3.5386376796827435
relaxed,1.0,loadbusd,12.0,11.469204651106649,0.5307953488933511,95.57670542588875,4.423294574111259
relaxed,1.0,loadbuse,22.0,20.832249788092902,1.1677502119070982,94.69204449133139,5.307955508668628
relaxed,1.0,__network_total__,70.0,66.13091939991422,3.869080600085777,94.47274199987746,5.527258000122539
