fair_func,weight_max,step_size,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,weight_spread,objective
min_max,10.0,0.2,3466.0,1679.8291661768762,1786.1708338231235,48.465930934128,51.534069065872,9.000000100971949,14458.097366080574
equality_min,10.0,0.2,3466.0,1459.9224228428009,2006.0775771571987,42.12124705259091,57.878752947409076,9.001999860030601,11079.113713652936
jain,10.0,0.2,3466.0,1459.7145601535804,2006.2854398464192,42.11524986017254,57.884750139827446,8.999993565031764,12259.466704244067
proportional,10.0,0.5,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,10.0,0.5,3466.0,1465.3224037259185,2000.6775962740812,42.27704569318865,57.722954306811346,9.000000086671152,7110.6268535530935
min_max,10.0,0.5,3466.0,1679.829166176879,1786.1708338231206,48.46593093412807,51.53406906587191,9.000000100971949,14458.115823433862
equality_min,10.0,0.5,3466.0,1459.922422863668,2006.0775771363315,42.12124705319296,57.87875294680702,9.012492257293442,11084.548781514322
jain,10.0,0.5,3466.0,1459.7145601542607,2006.2854398457393,42.11524986019217,57.88475013980783,8.999993565015853,12259.50291094389
proportional,10.0,1.0,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,10.0,1.0,3466.0,1465.322400247218,2000.677599752782,42.27704559282222,57.72295440717778,9.000000086671152,7110.627154074849
min_max,10.0,1.0,3466.0,1679.8291661748358,1786.1708338251638,48.46593093406912,51.534069065930865,9.000000085114236,14457.998541173805
equality_min,10.0,1.0,3466.0,1459.9224228693606,2006.0775771306394,42.1212470533572,57.8787529466428,9.049875681354246,11103.913379627236
jain,10.0,1.0,3466.0,1459.7145600326407,2006.2854399673593,42.11524985668323,57.884750143316765,8.999982069177491,12262.111306148256
proportional,20.0,0.05,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,20.0,0.05,3466.0,1465.3310617516777,2000.6689382483219,42.27729549196993,57.72270450803006,9.05000008719138,7139.027837185769
min_max,20.0,0.05,3466.0,1679.8291661849394,1786.1708338150606,48.46593093436063,51.53406906563938,9.050000085630117,14528.461226634543
equality_min,20.0,0.05,3466.0,1459.9224228444486,2006.0775771555514,42.12124705263845,57.878752947361555,9.00012505920413,11078.203782303164
jain,20.0,0.05,3466.0,1459.714560238136,2006.2854397618644,42.11524986261212,57.8847501373879,9.04998207419099,12320.013596910327
proportional,20.0,0.1,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,20.0,0.1,3466.0,1465.33968998946,2000.66031001054,42.277544431317374,57.722455568682626,9.100000087711404,7167.415236206819
min_max,20.0,0.1,3466.0,1679.8291661277212,1786.1708338722783,48.46593093270979,51.5340690672902,9.100000101983415,14598.939800789793
equality_min,20.0,0.1,3466.0,1459.9224228651042,2006.0775771348963,42.1212470532344,57.87875294676562,9.000500047487874,11078.581770481798
jain,20.0,0.1,3466.0,1459.714560390017,2006.285439609983,42.11524986699414,57.88475013300586,9.099982087180688,12376.968958744372
